dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,embed_dim,aux_weight,mlp_variant,modality_encoder,enc_n_layers,enc_hidden_dim,full_std,nts_sign_k,nts_sign_alpha,nts_num_tf_layers,nts_num_heads,k_t,k_v,num_samples,tur_weight,mgdcf_alpha,mgdcf_beta
Movies,NTSFormer,GCN,1,accuracy,52.884,49.215,33.733,52.88 ± 0.42,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.419,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,accuracy,52.534,50.085,34.363,52.53 ± 1.10,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,1.103,2,0.0,3,2,,,,,,
Movies,NTSFormer,GCN,1,accuracy,52.974,48.946,34.753,52.97 ± 0.37,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.374,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,accuracy,53.453,49.535,33.833,53.45 ± 0.31,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.308,2,0.0,3,2,,,,,,
Movies,NTSFormer,GCN,1,accuracy,53.623,50.115,34.963,53.62 ± 0.14,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.143,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,accuracy,54.073,49.075,34.113,54.07 ± 0.51,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.514,2,0.0,3,2,,,,,,
Movies,MIG_GT,GCN,1,accuracy,49.885,44.238,35.862,49.89 ± 0.32,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.316,,,,,3,2,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,accuracy,49.385,43.778,35.302,49.39 ± 0.67,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.674,,,,,2,3,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,accuracy,49.135,44.018,36.782,49.14 ± 0.53,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.532,,,,,3,2,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,accuracy,48.546,44.268,36.802,48.55 ± 2.31,,,,none,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,2.308,,,,,2,3,10,1.0,0.1,0.9
