dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,embed_dim,aux_weight,mlp_variant,full_std,degrade_text100,degrade_visual100,modality_encoder,enc_n_layers,enc_hidden_dim,degrade_text_std,degrade_visual_std
Movies,SUPRA,GCN,2,accuracy,59.06,39.19,48.966,59.06 ± 0.07,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.0,ablate,0.071,0.39190404797601197,0.4896551724137931,,,,,
Movies,SUPRA,GCN,2,accuracy,58.611,40.48,48.246,58.61 ± 0.44,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.1,ablate,0.442,0.4047976011994003,0.48245877061469267,,,,,
Movies,SUPRA,GCN,2,accuracy,58.951,40.27,49.565,58.95 ± 0.24,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.3,ablate,0.236,0.40269865067466265,0.4956521739130435,,,,,
Movies,SUPRA,GCN,2,accuracy,58.631,39.7,49.475,58.63 ± 0.33,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.5,ablate,0.331,0.3970014992503748,0.4947526236881559,,,,,
Movies,SUPRA,GCN,2,accuracy,58.651,38.771,49.685,58.65 ± 0.17,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.7,ablate,0.17,0.3877061469265367,0.49685157421289355,,,,,
Movies,SUPRA,GCN,3,accuracy,58.681,39.58,50.465,58.68 ± 0.23,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.0,ablate,0.234,0.39580209895052476,0.5046476761619191,,,,,
Movies,SUPRA,GCN,3,accuracy,58.911,39.22,50.825,58.91 ± 0.34,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.1,ablate,0.338,0.3922038980509745,0.5082458770614693,,,,,
Movies,SUPRA,GCN,3,accuracy,58.811,39.01,51.034,58.81 ± 0.16,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.3,ablate,0.157,0.39010494752623687,0.5103448275862069,,,,,
Movies,SUPRA,GCN,3,accuracy,58.751,37.751,50.165,58.75 ± 0.63,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.5,ablate,0.626,0.3775112443778111,0.5016491754122938,,,,,
Movies,SUPRA,GCN,3,accuracy,58.481,39.55,50.645,58.48 ± 0.48,,,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,0.7,ablate,0.477,0.39550224887556223,0.5064467766116941,,,,,
