dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,full_std,degrade_text_std,degrade_visual_std,degrade_text_a100,degrade_text_a100_std,degrade_text_a100_pm,degrade_visual_a100,degrade_visual_a100_std,degrade_visual_a100_pm
Movies,EarlyFusionMLP,MLP,2,accuracy,51.674,45.667,36.192,51.67 ± 0.25,45.67 ± 0.72,36.19 ± 0.48,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.255,0.725,0.482,45.667,0.725,45.67 ± 0.72,36.192,0.482,36.19 ± 0.48
Movies,EarlyFusionMLP,MLP,3,accuracy,50.815,43.328,36.172,50.81 ± 0.33,43.33 ± 0.89,36.17 ± 0.46,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.326,0.891,0.46,43.328,0.891,43.33 ± 0.89,36.172,0.46,36.17 ± 0.46
Movies,EarlyFusionMLP,MLP,2,accuracy,51.654,45.917,37.041,51.65 ± 0.34,45.92 ± 0.09,37.04 ± 1.00,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.343,0.086,1.002,45.917,0.086,45.92 ± 0.09,37.041,1.002,37.04 ± 1.00
Movies,EarlyFusionMLP,MLP,3,accuracy,50.555,44.658,36.722,50.55 ± 0.38,44.66 ± 0.28,36.72 ± 0.49,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.385,0.284,0.495,44.658,0.284,44.66 ± 0.28,36.722,0.495,36.72 ± 0.49
Movies,EarlyFusionGNN,GCN,1,accuracy,52.524,45.217,34.483,52.52 ± 0.11,45.22 ± 0.56,34.48 ± 0.52,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.11,0.556,0.518,45.217,0.556,45.22 ± 0.56,34.483,0.518,34.48 ± 0.52
Movies,EarlyFusionGNN,GCN,2,accuracy,53.473,46.507,37.371,53.47 ± 0.28,46.51 ± 0.49,37.37 ± 0.43,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.284,0.491,0.431,46.507,0.491,46.51 ± 0.49,37.371,0.431,37.37 ± 0.43
Movies,EarlyFusionGNN,GCN,1,accuracy,52.784,45.277,34.313,52.78 ± 0.25,45.28 ± 0.69,34.31 ± 0.56,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.246,0.687,0.565,45.277,0.687,45.28 ± 0.69,34.313,0.565,34.31 ± 0.56
Movies,EarlyFusionGNN,GCN,2,accuracy,53.913,46.077,36.812,53.91 ± 0.15,46.08 ± 0.36,36.81 ± 0.68,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.147,0.355,0.68,46.077,0.355,46.08 ± 0.36,36.812,0.68,36.81 ± 0.68
Movies,EarlyFusionGNN,SAGE,2,accuracy,55.082,46.837,37.411,55.08 ± 0.19,46.84 ± 0.36,37.41 ± 0.14,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.194,0.361,0.143,46.837,0.361,46.84 ± 0.36,37.411,0.143,37.41 ± 0.14
Movies,EarlyFusionGNN,SAGE,3,accuracy,55.542,46.887,38.401,55.54 ± 0.06,46.89 ± 0.50,38.40 ± 1.10,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.062,0.496,1.097,46.887,0.496,46.89 ± 0.50,38.401,1.097,38.40 ± 1.10
Movies,EarlyFusionGNN,SAGE,4,accuracy,55.302,47.226,38.801,55.30 ± 0.48,47.23 ± 0.47,38.80 ± 1.22,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.479,0.466,1.222,47.226,0.466,47.23 ± 0.47,38.801,1.222,38.80 ± 1.22
Movies,EarlyFusionGNN,SAGE,2,accuracy,55.862,47.586,37.491,55.86 ± 0.49,47.59 ± 0.36,37.49 ± 1.12,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.489,0.361,1.121,47.586,0.361,47.59 ± 0.36,37.491,1.121,37.49 ± 1.12
Movies,EarlyFusionGNN,SAGE,3,accuracy,56.362,48.046,38.501,56.36 ± 0.22,48.05 ± 0.29,38.50 ± 0.15,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.222,0.286,0.149,48.046,0.286,48.05 ± 0.29,38.501,0.149,38.50 ± 0.15
Movies,EarlyFusionGNN,SAGE,4,accuracy,56.092,48.356,38.631,56.09 ± 0.80,48.36 ± 0.55,38.63 ± 0.31,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.802,0.552,0.31,48.356,0.552,48.36 ± 0.55,38.631,0.31,38.63 ± 0.31
Movies,EarlyFusionGNN,GAT,1,accuracy,50.145,45.337,35.392,50.14 ± 0.21,45.34 ± 0.15,35.39 ± 0.88,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.205,0.149,0.879,45.337,0.149,45.34 ± 0.15,35.392,0.879,35.39 ± 0.88
Movies,EarlyFusionGNN,GAT,2,accuracy,53.133,46.157,36.532,53.13 ± 0.30,46.16 ± 0.35,36.53 ± 0.64,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.297,0.347,0.639,46.157,0.347,46.16 ± 0.35,36.532,0.639,36.53 ± 0.64
Movies,EarlyFusionGNN,GAT,1,accuracy,50.565,45.467,34.993,50.56 ± 0.27,45.47 ± 0.12,34.99 ± 0.36,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.269,0.123,0.356,45.467,0.123,45.47 ± 0.12,34.993,0.356,34.99 ± 0.36
Movies,EarlyFusionGNN,GAT,2,accuracy,52.964,46.847,37.351,52.96 ± 0.35,46.85 ± 0.69,37.35 ± 0.75,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.35,0.693,0.751,46.847,0.693,46.85 ± 0.69,37.351,0.751,37.35 ± 0.75
